,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment
1497,AA,70_4551294436_CACEIS,1859497114,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1498,AA,144_4551294441_CACEIS,1859498890,OB,OB,No-pair,wire transfer,Caceis booked the wire transfer for SD 2021-05-17. Integrata yet to book
1499,AA,104_4551294430_CACEIS,1859495847,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1500,AA,75_4551294441_CACEIS,1859498684,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1501,AA,181_4551294440_CACEIS,1859498455,OB,OB,No-pair,proceeds sell,Caceis booked the proceeds sell for SD 2021-05-17. Integrata yet to book
1502,AA,247_4551294438_CACEIS,1859497803,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1503,AA,234_4551294430_CACEIS,1859495910,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1504,AA,130_4551294438_CACEIS,1859497716,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1505,AA,307_4551294441_CACEIS,1859498844,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1506,AA,104_4551294436_CACEIS,1859496862,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1507,AA,75_4551294437_CACEIS,1859497411,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1508,AA,35_4551294437_CACEIS,1859497490,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1509,AA,144_4551294440_CACEIS,1859498479,OB,OB,No-pair,wire transfer,Caceis booked the wire transfer for SD 2021-05-17. Integrata yet to book
1510,AA,104_4551294432_CACEIS,1859496716,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1511,AA,181_4551294437_CACEIS,1859497304,OB,OB,No-pair,proceeds sell,Caceis booked the proceeds sell for SD 2021-05-17. Integrata yet to book
1512,AA,247_4551294436_CACEIS,1859497050,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1513,AA,75_4551294436_CACEIS,1859497087,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1514,AA,307_4551294438_CACEIS,1859497611,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
